"Class","FriendlyName","Status","Problem","InstanceId","Service","ProblemCode","ProblemStatus","InfPath","DriverVersion"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C5A\64",,"28","3221226640",,
"System","Qualcomm(R) Analog-to-Digital Converter Device","Error","CM_PROB_FAILED_START","ACPI\QCOM0C11\0","qcADC","10","3221225473","oem4.inf","1.0.4160.6000"
"System","Qualcomm(R) Bus Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C16\F","qcuart","31","3221225531","oem79.inf","1.0.4160.6000"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CF9&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
"Net","WAN Miniport (PPPOE)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_PPPOEMINIPORT","RasPppoe",,,"netrasa.inf","10.0.28000.1"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0D05\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0CBF\1",,"28","3221226640",,
"SoftwareDevice","Microsoft RRAS Root Enumerator","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}",,,,"c_swdevice.inf","10.0.28000.1"
"HIDClass","HID Button over Interrupt Driver","Error","CM_PROB_FAILED_START","ACPI\ACPI0011\0","hidinterrupt","10","3221225630","hidinterrupt.inf","10.0.28000.1896"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CF8&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
"Net","WAN Miniport (PPTP)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_PPTPMINIPORT","PptpMiniport",,,"netrasa.inf","10.0.28000.1"
"Net","WAN Miniport (IKEv2)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_AGILEVPNMINIPORT","RasAgileVpn",,,"netavpna.inf","10.0.28000.1"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0CAC\2&DABA3FF&0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_06E0&SUBSYS_CRD08380&REV_0008\2&DABA3FF&0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM06DD\2&DABA3FF&0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CF7&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0C83&SUBSYS_CRD08380&REV_0001\2&DABA3FF&0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C91\0",,"28","3221226640",,
"Net","WAN Miniport (Network Monitor)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_NDISWANBH","NdisWan",,,"netrasa.inf","10.0.28000.1"
"Net","WAN Miniport (IP)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_NDISWANIP","NdisWan",,,"netrasa.inf","10.0.28000.1"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM06DC\2&DABA3FF&0",,"28","3221226640",,
"Sensor","Qualcomm Human Presence Sensor","Error","CM_PROB_FAILED_ADD","ACPI\QCOM06D9\2&DABA3FF&0","WUDFRd","31","3221225473","oem35.inf","1.0.4160.6000"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM04DD\0",,"28","3221226640",,
"Net","WAN Miniport (SSTP)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_SSTPMINIPORT","RasSstp",,,"netsstpa.inf","10.0.28000.1"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CF5&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0D18\2&DABA3FF&0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CF4&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C32\1B",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM06E5\2&DABA3FF&0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C58\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C58\1",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C59\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C59\1",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CF3&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\QCOM0C8E\2&DABA3FF&0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CFC&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0C09&SUBSYS_CRD08380&REV_0001\0",,"28","3221226640",,
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0C09&SUBSYS_CRD08380&REV_0001\1",,"28","3221226640",,
"System","Qualcomm(R) Bus Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C16\16","qcuart","31","3221225531","oem79.inf","1.0.4160.6000"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CF2&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
"Net","WAN Miniport (IPv6)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_NDISWANIPV6","NdisWan",,,"netrasa.inf","10.0.28000.1"
,,"Error","CM_PROB_FAILED_INSTALL","ACPI\VEN_QCOM&DEV_0CFB&SUBSYS_CRD08380&REV_0100\0",,"28","3221226640",,
"Net","WAN Miniport (L2TP)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_L2TPMINIPORT","Rasl2tp",,,"netrasa.inf","10.0.28000.1"
